,ID,Applies To,Country,Date Start,Date end intended,Description of measure implemented,Exceptions,Implementing City,Implementing State/Province,Keywords,Quantity,Source,Target city,Target country,Target region,Target state,leaving home,restaurant closure,school closure,travel restriction
0,163,,Austria,"Mar 16, 2020",,On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.,,,,university closure,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Austria,,,,,False,False,True,False
1,132,,Germany,"Feb 01, 2020",,"102 German citizens and 26 relatives, all of whom were symptom-free on departure, were evacuated from the Wuhan region to Frankfurt am Main by the Executive Transport Wing of the German Air Force. After their return, they were placed in quarantine in a military barrack in Rhineland-Palatinate for 14 days.[716] The coronavirus was found in two passengers on 2 February.",,,,"international traveller screening, traveller quarantine, traveller testing",,https://www.tagesschau.de/inland/coronavirus-germersheim-107.html,,,,,False,False,False,True
2,578,,United Kingdom,"Mar 20, 2020",,"All schools, nurseries and colleges closed.",,,,"nursery schools closure, school closure, university closure",,https://www.theguardian.com/world/2020/mar/18/coronavirus-school-colleges-nurseries-england-close-uk-friday,,,,,False,False,True,False
5,356,,United Kingdom,"Mar 16, 2020",,"Everyone should avoid gatherings with friends and family, as well as large gatherings and crowded places, such as pubs, clubs and theatres",,,,"public announcement, social distancing",,https://www.bbc.com/news/uk-51920444,,,,,True,False,False,False
7,355,,United Kingdom,"Feb 26, 2020",,Britons returning from northern Italy told to self-isolate,,,,"international traveller screening, travel warning, traveller quarantine",,https://www.gov.uk/guidance/coronavirus-covid-19-information-for-the-public#advice-for-travellers,,,,,False,False,False,True
8,603,,United Kingdom,"Mar 18, 2020","Apr 18, 2020",The Foreign & Commonwealth Office (FCO) advises British people against all but essential travel worldwide due to unprecedented international border closures and other restrictions.,,,,outbound travel warning,,https://www.gov.uk/guidance/travel-advice-novel-coronavirus,,,,,False,False,False,True
10,148,,Vietnam,"Feb 08, 2020",,"The school break in Vietnam was extended in all 63 first-level subdivisions, with the majority to 16 February and five to an unspecified time.",,,,school closure,,https://tuoitre.vn/63-63-tinh-thanh-pho-keo-dai-thoi-gian-nghi-hoc-cho-hoc-sinh-20200208175640702.htm,,,,,False,False,True,False
11,141,,Vietnam,"Feb 04, 2020",,The Nanning–Hanoi through train shall cease service as per agreement between the two national operators.,,,,international travel ban,,https://news.zing.vn/dung-tau-khach-lien-van-quoc-te-viet-nam-trung-quoc-post1042917.html,,China,,,False,False,False,True
12,138,,Vietnam,"Feb 03, 2020","Feb 10, 2020",Lunar New Year holidays was extended for one week to all k-through-12 students in Ho Chi Minh City; public schools will resume on 10 February.,,,,school closure,,https://tuoitrenews.vn/news/education/20200202/ho-chi-minh-city-allows-k12-students-one-week-off-to-avoid-coronavirus-spread/52828.html,,,,,False,False,True,False
13,129,,Vietnam,"Feb 01, 2020","May 01, 2020","With the sixth case being another domestic transmission, Vietnamese Prime Minister Nguyễn Xuân Phúc signed an epidemic declaration.[13] Aviation permits which already had been granted for flights between Vietnam and China Mainland-Hong Kong-Macau were all revoked, effective immediately from 13:00 (UTC+7, 1 February) for an unspecified time.[13][713] It perhaps lasts until 1 May, according to the United States Federal Aviation Administration.",,,,international travel ban,,https://en.vietnamplus.vn/vietnam-declares-novel-coronavirus-epidemic/168021.vnp,,"China, Hong Kong, Macau",,,False,False,False,True
